country,year,total_emissions
Brazil,2019,434.7050337
Brazil,2020,385.35474646
Brazil,2021,462.16324639
Brazil,2022,397.78260474
Brazil,2023,156.4692006
China,2019,10492.998079
China,2020,10595.874945
China,2021,11224.5413604
China,2022,11077.1365095
China,2023,4612.5204869
EU27 & UK,2019,3274.9411869
EU27 & UK,2020,2916.70086084
EU27 & UK,2021,3184.3681317
EU27 & UK,2022,3266.4552994
EU27 & UK,2023,1361.637356
France,2019,310.0272954
France,2020,272.8833551904
France,2021,301.71420663
France,2022,307.65465431
France,2023,136.21182114
Germany,2019,686.88589366
Germany,2020,614.735021283
Germany,2021,676.338880709
Germany,2022,685.71596345
Germany,2023,287.342916504
India,2019,2471.6864274
India,2020,2264.7539115846
India,2021,2487.49081695
India,2022,2662.59300347
India,2023,1221.4351654
Italy,2019,331.21940608
Italy,2020,296.657934955
Italy,2021,321.126078702
Italy,2022,332.71215184
Italy,2023,141.3893149
Japan,2019,1108.48727122
Japan,2020,1049.08506611
Japan,2021,1046.68180899
Japan,2022,1080.6351642
Japan,2023,437.6410985
ROW,2019,10892.232158
ROW,2020,9970.4670212
ROW,2021,10312.4043683
ROW,2022,10716.325168
ROW,2023,4501.189761
Russia,2019,1557.8678521
Russia,2020,1674.012656
Russia,2021,1908.61021714
Russia,2022,1870.08360398
Russia,2023,830.472574
Spain,2019,268.74787757
Spain,2020,220.909928102
Spain,2021,242.89645786
Spain,2022,260.76966042
Spain,2023,106.4086114
UK,2019,380.112683798
UK,2020,332.770408227
UK,2021,360.302555417
UK,2022,373.939437198
UK,2023,158.17150222
US,2019,5111.445643
US,2020,4597.5765221
US,2021,4881.7237584
US,2022,5048.450452
US,2023,1992.623969
WORLD,2019,35344.364079
WORLD,2020,33453.825065
WORLD,2021,35507.981996
WORLD,2022,36119.462025
WORLD,2023,15113.988959
