country,year,sector,total_emissions
Brazil,2019,Domestic Aviation,10.0802662
Brazil,2019,Ground Transport,171.1684
Brazil,2019,Industry,130.017966
Brazil,2019,International Aviation,6.6142732
Brazil,2019,Power,80.199986
Brazil,2019,Residential,36.6241423
Brazil,2020,Domestic Aviation,6.07338915
Brazil,2020,Ground Transport,145.0273742
Brazil,2020,Industry,124.04257199999999
Brazil,2020,International Aviation,2.79826081
Brazil,2020,Power,70.78899
Brazil,2020,Residential,36.6241603
Brazil,2021,Domestic Aviation,8.65025629
Brazil,2021,Ground Transport,162.3656034
Brazil,2021,Industry,129.403166
Brazil,2021,International Aviation,2.9841704
Brazil,2021,Power,122.135908
Brazil,2021,Residential,36.6241423
Brazil,2022,Domestic Aviation,10.8703367
Brazil,2022,Ground Transport,169.298054
Brazil,2022,Industry,128.931474
Brazil,2022,International Aviation,4.99187574
Brazil,2022,Power,47.066722
Brazil,2022,Residential,36.6241423
Brazil,2023,Domestic Aviation,4.7781022
Brazil,2023,Ground Transport,69.650576
Brazil,2023,Industry,49.950304
Brazil,2023,International Aviation,2.4148827
Brazil,2023,Power,14.415289
Brazil,2023,Residential,15.2600467
China,2019,Domestic Aviation,62.4585104
China,2019,Ground Transport,923.99509
China,2019,Industry,4101.706
China,2019,International Aviation,31.4389986
China,2019,Power,4569.01913
China,2019,Residential,804.38035
China,2020,Domestic Aviation,51.5524158
China,2020,Ground Transport,808.948121
China,2020,Industry,4258.21922
China,2020,International Aviation,12.7527682
China,2020,Power,4656.29234
China,2020,Residential,808.11008
China,2021,Domestic Aviation,57.8399209
China,2021,Ground Transport,907.48407
China,2021,Industry,4371.35427
China,2021,International Aviation,10.9957295
China,2021,Power,5078.3359
China,2021,Residential,798.53147
China,2022,Domestic Aviation,34.6451995
China,2022,Ground Transport,875.06984
China,2022,Industry,4200.39966
China,2022,International Aviation,9.38662
China,2022,Power,5141.3913
China,2022,Residential,816.24389
China,2023,Domestic Aviation,25.8350735
China,2023,Ground Transport,382.15862
China,2023,Industry,1710.65349
China,2023,International Aviation,4.7243734
China,2023,Power,2104.9814
China,2023,Residential,384.16753
EU27 & UK,2019,Domestic Aviation,16.5150549
EU27 & UK,2019,Ground Transport,879.86619
EU27 & UK,2019,Industry,632.436935
EU27 & UK,2019,International Aviation,190.896978
EU27 & UK,2019,Power,933.74006
EU27 & UK,2019,Residential,621.485969
EU27 & UK,2020,Domestic Aviation,8.59467814
EU27 & UK,2020,Ground Transport,830.15596
EU27 & UK,2020,Industry,583.890452
EU27 & UK,2020,International Aviation,78.6302827
EU27 & UK,2020,Power,806.32882
EU27 & UK,2020,Residential,609.100668
EU27 & UK,2021,Domestic Aviation,11.2660927
EU27 & UK,2021,Ground Transport,885.17511
EU27 & UK,2021,Industry,641.241478
EU27 & UK,2021,International Aviation,98.659176
EU27 & UK,2021,Power,889.522
EU27 & UK,2021,Residential,658.504275
EU27 & UK,2022,Domestic Aviation,14.5600984
EU27 & UK,2022,Ground Transport,884.94155
EU27 & UK,2022,Industry,664.998588
EU27 & UK,2022,International Aviation,163.09517
EU27 & UK,2022,Power,930.18485
EU27 & UK,2022,Residential,608.675043
EU27 & UK,2023,Domestic Aviation,5.908224
EU27 & UK,2023,Ground Transport,374.91911
EU27 & UK,2023,Industry,276.654366
EU27 & UK,2023,International Aviation,66.700302
EU27 & UK,2023,Power,310.6327
EU27 & UK,2023,Residential,326.822654
France,2019,Domestic Aviation,2.3268967
France,2019,Ground Transport,116.619405
France,2019,Industry,61.6667136
France,2019,International Aviation,20.1138888
France,2019,Power,29.429994
France,2019,Residential,79.8703973
France,2020,Domestic Aviation,1.2929022404
France,2020,Ground Transport,105.09511
France,2020,Industry,54.7306219
France,2020,International Aviation,8.83622525
France,2020,Power,26.904545
France,2020,Residential,76.0239508
France,2021,Domestic Aviation,1.72464943
France,2021,Ground Transport,118.219392
France,2021,Industry,58.1228222
France,2021,International Aviation,11.5033434
France,2021,Power,28.524801
France,2021,Residential,83.6191986
France,2022,Domestic Aviation,1.93709281
France,2022,Ground Transport,118.804889
France,2022,Industry,58.9199174
France,2022,International Aviation,17.8770186
France,2022,Power,34.295324
France,2022,Residential,75.8204125
France,2023,Domestic Aviation,0.72355654
France,2023,Ground Transport,49.879676
France,2023,Industry,24.9049299
France,2023,International Aviation,7.4625653
France,2023,Power,11.817255
France,2023,Residential,41.4238384
Germany,2019,Domestic Aviation,2.12409486
Germany,2019,Ground Transport,150.481393
Germany,2019,Industry,124.054473
Germany,2019,International Aviation,28.7922679
Germany,2019,Power,243.219986
